fila_bronze,viaje_id,order_id,camion_id_tratado,producto_id,timestamp_bolivia,temp_c,humedad_pct,objetivo_c,tolerancia_c,desvio_respecto_umbral_c,temp_lag1_c,temp_lag2_c,cambio_temp_c,pendiente_c_por_min,temp_media_historica_3,temp_max_historica_3,minutos_desde_inicio,categoria_logistica_tratada,tipo_camion_tratado,capacidad_kg_tratada,centro_distribucion_tratado,cantidad_solicitada_tratado,tiempo_entrega_prometido_hrs_tratado,temperatura_imputada_x,humedad_imputada,clasificacion_objetivo_60min,max_desvio_termico_proximos_60min_c,n_lecturas_futuras_60min,apta_clasificacion_60min,apta_regresion_60min,eventos_previos_60m,eventos_previos_180m,eventos_previos_24h,alertas_temp_previas_60m,alertas_temp_previas_180m,alertas_temp_previas_24h,fallas_motor_previas_24h,eventos_alta_previos_24h,eventos_no_reconocidos_previos_24h,reconocimiento_faltante_previos_24h,minutos_desde_ultimo_evento,minutos_desde_ultima_alerta_temp,umbral_eventos_temp_cabina_c,geocerca_eventos_radio_km,ultimo_mantenimiento_eventos,dias_desde_ultimo_mantenimiento_eventos,tiene_evento_previo_24h,tiene_alerta_temp_previa_24h
5100,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 17:19:00,4.2,78.6,4.0,2.0,-1.7999999999999998,4.13,5.45,0.0700000000000002,0.0023333333333333,4.593333333333334,5.45,330.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,1,0.4699999999999997,2,True,True,0,0,0,0,0,0,0,0,0,0,13564.0,27509.0,6.5,57.9,2026-07-29,22.721527777777776,False,False
5101,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 17:49:00,1.53,73.5,4.0,2.0,0.4699999999999997,4.2,4.13,-2.67,-0.089,3.286666666666667,4.2,360.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-1.4400000000000004,2,True,True,0,0,0,0,0,0,0,0,0,0,13594.0,27539.0,6.5,57.9,2026-07-29,22.742361111111112,False,False
5102,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 18:19:00,4.56,72.8,4.0,2.0,-1.4400000000000004,1.53,4.2,3.03,0.1009999999999999,3.43,4.56,390.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-1.2199999999999998,2,True,True,0,0,0,0,0,0,0,0,0,0,13624.0,27569.0,6.5,57.9,2026-07-29,22.763194444444444,False,False
5103,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 18:49:00,3.98,86.2,4.0,2.0,-1.98,4.56,1.53,-0.5799999999999996,-0.0193333333333333,3.356666666666667,4.56,420.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-1.2199999999999998,2,True,True,0,0,0,0,0,0,0,0,0,0,13654.0,27599.0,6.5,57.9,2026-07-29,22.784027777777776,False,False
5104,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 19:19:00,4.78,85.8,4.0,2.0,-1.2199999999999998,3.98,4.56,0.8000000000000003,0.0266666666666666,4.44,4.78,450.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-1.11,2,True,True,0,0,0,0,0,0,0,0,0,0,13684.0,27629.0,6.5,57.9,2026-07-29,22.804861111111112,False,False
5105,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 19:49:00,3.72,76.3,4.0,2.0,-1.7200000000000002,4.78,3.98,-1.06,-0.0353333333333333,4.16,4.78,480.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-0.3399999999999998,2,True,True,0,0,0,0,0,0,0,0,0,0,13714.0,27659.0,6.5,57.9,2026-07-29,22.825694444444444,False,False
5106,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 20:19:00,3.11,66.8,4.0,2.0,-1.11,3.72,4.78,-0.6100000000000003,-0.0203333333333333,3.87,4.78,510.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-0.3399999999999998,2,True,True,0,0,0,0,0,0,0,0,0,0,13744.0,27689.0,6.5,57.9,2026-07-29,22.846527777777776,False,False
5107,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 20:49:00,2.34,83.1,4.0,2.0,-0.3399999999999998,3.11,3.72,-0.77,-0.0256666666666666,3.056666666666666,3.72,540.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-1.5699999999999998,2,True,True,0,0,0,0,0,0,0,0,0,0,13774.0,27719.0,6.5,57.9,2026-07-29,22.867361111111112,False,False
5108,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 21:19:00,3.57,81.6,4.0,2.0,-1.5699999999999998,2.34,3.11,1.23,0.041,3.0066666666666664,3.57,570.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-1.44,2,True,True,0,0,0,0,0,0,0,0,0,0,13804.0,27749.0,6.5,57.9,2026-07-29,22.888194444444444,False,False
5109,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 21:49:00,4.09,77.6,4.0,2.0,-1.91,3.57,2.34,0.52,0.0173333333333333,3.333333333333333,4.09,600.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-1.44,2,True,True,0,0,0,0,0,0,0,0,0,0,13834.0,27779.0,6.5,57.9,2026-07-29,22.909027777777776,False,False
5110,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 22:19:00,3.44,72.9,4.0,2.0,-1.44,4.09,3.57,-0.6499999999999999,-0.0216666666666666,3.7,4.09,630.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-1.6399999999999997,2,True,True,0,0,0,0,0,0,0,0,0,0,13864.0,27809.0,6.5,57.9,2026-07-29,22.929861111111112,False,False
5111,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 22:49:00,4.23,79.0,4.0,2.0,-1.7699999999999996,3.44,4.09,0.7900000000000005,0.0263333333333333,3.92,4.23,660.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,-1.6399999999999997,1,True,True,0,0,0,0,0,0,0,0,0,0,13894.0,27839.0,6.5,57.9,2026-07-29,22.950694444444444,False,False
5112,VIA-00213,ORD-2026-02882,CAM-01,PROD-037,2026-08-20 23:19:00,4.36,69.0,4.0,2.0,-1.6399999999999997,4.23,3.44,0.1299999999999999,0.0043333333333333,4.010000000000001,4.36,690.0,Fresco,Refrigerado,5000,Cochabamba,171.0,24.0,False,False,0,,0,True,False,0,0,0,0,0,0,0,0,0,0,13924.0,27869.0,6.5,57.9,2026-07-29,22.971527777777776,False,False
5114,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 10:52:00,4.15,81.4,4.0,2.0,-1.85,,,,,4.15,4.15,0.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.0,2,True,True,0,0,0,0,0,0,0,0,0,0,1940.0,1940.0,7.7,30.4,2026-07-10,23.45277777777778,False,False
5115,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 11:22:00,3.57,77.6,4.0,2.0,-1.5699999999999998,4.15,,-0.5800000000000005,-0.0193333333333333,3.86,4.15,30.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.0,2,True,True,0,0,0,0,0,0,0,0,0,0,1970.0,1970.0,7.7,30.4,2026-07-10,23.47361111111111,False,False
5116,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 11:52:00,5.0,76.7,4.0,2.0,-1.0,3.57,4.15,1.4300000000000002,0.0476666666666666,4.24,5.0,60.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.5499999999999998,2,True,True,0,0,0,0,0,0,0,0,0,0,2000.0,2000.0,7.7,30.4,2026-07-10,23.494444444444444,False,False
5117,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 12:22:00,4.45,78.8,4.0,2.0,-1.5499999999999998,5.0,3.57,-0.5499999999999998,-0.0183333333333333,4.34,5.0,90.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.1399999999999997,2,True,True,0,0,0,0,0,0,0,0,0,0,2030.0,2030.0,7.7,30.4,2026-07-10,23.51527777777778,False,False
5118,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 12:52:00,3.83,77.1,4.0,2.0,-1.83,4.45,5.0,-0.6200000000000001,-0.0206666666666666,4.426666666666667,5.0,120.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-0.7699999999999996,2,True,True,0,0,0,0,0,0,0,0,0,0,2060.0,2060.0,7.7,30.4,2026-07-10,23.53611111111111,False,False
5119,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 13:22:00,4.86,70.0,4.0,2.0,-1.1399999999999997,3.83,4.45,1.0300000000000002,0.0343333333333333,4.38,4.86,150.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-0.6500000000000004,2,True,True,0,0,0,0,0,0,0,0,0,0,2090.0,2090.0,7.7,30.4,2026-07-10,23.556944444444444,False,False
5120,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 13:52:00,5.23,83.6,4.0,2.0,-0.7699999999999996,4.86,3.83,0.3700000000000001,0.0123333333333333,4.640000000000001,5.23,180.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-0.6500000000000004,2,True,True,0,0,0,0,0,0,0,0,0,0,2120.0,2120.0,7.7,30.4,2026-07-10,23.57777777777778,False,False
5121,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 14:22:00,5.35,84.2,4.0,2.0,-0.6500000000000004,5.23,4.86,0.1199999999999992,0.0039999999999999,5.1466666666666665,5.35,210.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.6,2,True,True,0,0,0,0,0,0,0,0,0,0,2150.0,2150.0,7.7,30.4,2026-07-10,23.59861111111111,False,False
5122,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 14:52:00,3.93,78.8,4.0,2.0,-1.93,5.35,5.23,-1.4199999999999997,-0.0473333333333333,4.836666666666667,5.35,240.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.38,2,True,True,0,0,0,0,0,0,0,0,0,0,2180.0,2180.0,7.7,30.4,2026-07-10,23.619444444444444,False,False
5123,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 15:22:00,3.6,76.0,4.0,2.0,-1.6,3.93,5.35,-0.33,-0.011,4.293333333333333,5.35,270.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-0.7400000000000002,2,True,True,0,0,0,0,0,0,0,0,0,0,2210.0,2210.0,7.7,30.4,2026-07-10,23.64027777777778,False,False
5124,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 15:52:00,4.62,70.3,4.0,2.0,-1.38,3.6,3.93,1.02,0.034,4.05,4.62,300.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-0.7400000000000002,2,True,True,0,0,0,0,0,0,0,0,0,0,2240.0,2240.0,7.7,30.4,2026-07-10,23.66111111111111,False,False
5125,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 16:22:00,5.26,89.6,4.0,2.0,-0.7400000000000002,4.62,3.6,0.6399999999999997,0.0213333333333333,4.493333333333333,5.26,330.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.71,2,True,True,0,0,0,0,0,0,0,0,0,0,2270.0,2270.0,7.7,30.4,2026-07-10,23.681944444444444,False,False
5126,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 16:52:00,3.89,91.2,4.0,2.0,-1.89,5.26,4.62,-1.3699999999999997,-0.0456666666666666,4.59,5.26,360.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.2999999999999998,2,True,True,0,0,0,0,0,0,0,0,0,0,2300.0,2300.0,7.7,30.4,2026-07-10,23.70277777777778,False,False
5127,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 17:22:00,4.29,70.8,4.0,2.0,-1.71,3.89,5.26,0.3999999999999999,0.0133333333333333,4.48,5.26,390.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,1,4.49,2,True,True,0,0,0,0,0,0,0,0,0,0,2330.0,2330.0,7.7,30.4,2026-07-10,23.72361111111111,False,False
5128,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 17:52:00,4.7,79.3,4.0,2.0,-1.2999999999999998,4.29,3.89,0.4100000000000001,0.0136666666666666,4.293333333333333,4.7,420.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,1,4.49,2,True,True,0,0,0,0,0,0,0,0,0,0,2360.0,2360.0,7.7,30.4,2026-07-10,23.744444444444444,False,False
5129,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 18:22:00,10.49,74.3,4.0,2.0,4.49,4.7,4.29,5.79,0.193,6.493333333333333,10.49,450.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,1,4.220000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,2390.0,2390.0,7.7,30.4,2026-07-10,23.76527777777778,False,False
5130,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 18:52:00,10.22,78.5,4.0,2.0,4.220000000000001,10.49,4.7,-0.2699999999999996,-0.0089999999999999,8.47,10.49,480.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,1,4.890000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,2420.0,2420.0,7.7,30.4,2026-07-10,23.78611111111111,False,False
5131,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 19:22:00,10.02,68.8,4.0,2.0,4.02,10.22,10.49,-0.200000000000001,-0.0066666666666667,10.243333333333334,10.49,510.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,1,4.890000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,2450.0,2450.0,7.7,30.4,2026-07-10,23.806944444444444,False,False
5132,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 19:52:00,10.89,79.9,4.0,2.0,4.890000000000001,10.02,10.22,0.870000000000001,0.029,10.376666666666669,10.89,540.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,1,2.789999999999999,2,True,True,0,0,0,0,0,0,0,0,0,0,2480.0,2480.0,7.7,30.4,2026-07-10,23.82777777777778,False,False
5133,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 20:22:00,8.79,78.8,4.0,2.0,2.789999999999999,10.89,10.02,-2.1000000000000014,-0.07,9.9,10.89,570.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.86,2,True,True,0,0,0,0,0,0,0,0,0,0,2510.0,2510.0,7.7,30.4,2026-07-10,23.84861111111111,False,False
5134,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 20:52:00,4.02,87.6,4.0,2.0,-1.9800000000000004,8.79,10.89,-4.77,-0.1589999999999999,7.899999999999999,10.89,600.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.56,2,True,True,0,0,0,0,0,0,0,0,0,0,2540.0,2540.0,7.7,30.4,2026-07-10,23.869444444444444,False,False
5135,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 21:22:00,3.86,67.3,4.0,2.0,-1.86,4.02,8.79,-0.1599999999999997,-0.0053333333333333,5.556666666666666,8.79,630.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,-1.56,1,True,True,0,0,0,0,0,0,0,0,0,0,2570.0,2570.0,7.7,30.4,2026-07-10,23.89027777777778,False,False
5136,VIA-00214,ORD-2026-00997,CAM-08,PROD-047,2026-08-02 21:52:00,3.56,74.1,4.0,2.0,-1.56,3.86,4.02,-0.2999999999999998,-0.0099999999999999,3.813333333333333,4.02,660.0,Fresco,Refrigerado,5000,Santa Cruz,269.0,72.0,False,False,0,,0,True,False,0,0,0,0,0,0,0,0,0,0,2600.0,2600.0,7.7,30.4,2026-07-10,23.91111111111111,False,False
5137,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-25 23:14:00,16.47,35.6,20.0,5.0,-1.4699999999999989,,,,,16.47,16.47,0.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-1.3599999999999994,2,True,True,0,0,0,0,0,0,0,0,0,0,6752.0,32216.0,7.8,24.7,2026-08-18,7.968055555555556,False,False
5138,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-25 23:44:00,18.63,47.3,20.0,5.0,-3.629999999999999,16.47,,2.16,0.072,17.549999999999997,18.63,30.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-0.8999999999999986,2,True,True,0,0,0,0,0,0,0,0,0,0,6782.0,32246.0,7.8,24.7,2026-08-18,7.988888888888889,False,False
5139,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 00:14:00,16.36,58.1,20.0,5.0,-1.3599999999999994,18.63,16.47,-2.27,-0.0756666666666666,17.153333333333332,18.63,60.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-0.8999999999999986,2,True,True,0,0,0,0,0,0,0,0,0,0,6812.0,32276.0,7.8,24.7,2026-08-18,8.009722222222223,False,False
5140,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 00:44:00,24.1,38.8,20.0,5.0,-0.8999999999999986,16.36,18.63,7.740000000000002,0.258,19.69666666666667,24.1,90.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-3.899999999999999,2,True,True,0,0,0,0,0,0,0,0,0,0,6842.0,32306.0,7.8,24.7,2026-08-18,8.030555555555555,False,False
5141,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 01:14:00,20.66,46.1,20.0,5.0,-4.34,24.1,16.36,-3.4400000000000013,-0.1146666666666667,20.37333333333333,24.1,120.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-3.899999999999999,2,True,True,0,0,0,0,0,0,0,0,0,0,6872.0,32336.0,7.8,24.7,2026-08-18,8.051388888888889,False,False
5142,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 01:44:00,21.1,47.3,20.0,5.0,-3.899999999999999,20.66,24.1,0.4400000000000013,0.0146666666666667,21.953333333333337,24.1,150.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-3.0700000000000003,2,True,True,0,0,0,0,0,0,0,0,0,0,6902.0,32366.0,7.8,24.7,2026-08-18,8.072222222222223,False,False
5143,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 02:14:00,19.07,52.6,20.0,5.0,-4.07,21.1,20.66,-2.030000000000001,-0.0676666666666667,20.276666666666667,21.1,180.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-3.0700000000000003,2,True,True,0,0,0,0,0,0,0,0,0,0,6932.0,32396.0,7.8,24.7,2026-08-18,8.093055555555555,False,False
5144,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 02:44:00,21.93,52.3,20.0,5.0,-3.0700000000000003,19.07,21.1,2.8599999999999994,0.0953333333333333,20.7,21.93,210.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-0.9899999999999984,2,True,True,0,0,0,0,0,0,0,0,0,0,6962.0,32426.0,7.8,24.7,2026-08-18,8.113888888888889,False,False
5145,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 03:14:00,21.71,60.9,20.0,5.0,-3.289999999999999,21.93,19.07,-0.2199999999999988,-0.0073333333333332,20.90333333333333,21.93,240.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-0.9899999999999984,2,True,True,0,0,0,0,0,0,0,0,0,0,6992.0,32456.0,7.8,24.7,2026-08-18,8.134722222222223,False,False
5146,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 03:44:00,24.01,54.4,20.0,5.0,-0.9899999999999984,21.71,21.93,2.3000000000000007,0.0766666666666666,22.55,24.01,270.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-2.3200000000000003,2,True,True,0,0,0,0,0,0,0,0,0,0,7022.0,32486.0,7.8,24.7,2026-08-18,8.155555555555555,False,False
5147,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 04:14:00,22.68,42.1,20.0,5.0,-2.3200000000000003,24.01,21.71,-1.3300000000000018,-0.0443333333333334,22.8,24.01,300.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-1.5599999999999987,2,True,True,0,0,0,0,0,0,0,0,0,0,7052.0,32516.0,7.8,24.7,2026-08-18,8.176388888888889,False,False
5148,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 04:44:00,20.44,46.2,20.0,5.0,-4.559999999999999,22.68,24.01,-2.2399999999999984,-0.0746666666666666,22.376666666666665,24.01,330.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-1.5599999999999987,2,True,True,0,0,0,0,0,0,0,0,0,0,7082.0,32546.0,7.8,24.7,2026-08-18,8.197222222222223,False,False
5149,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 05:14:00,16.56,40.9,20.0,5.0,-1.5599999999999987,20.44,22.68,-3.8800000000000026,-0.1293333333333334,19.89333333333333,22.68,360.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-3.6000000000000014,2,True,True,0,0,0,0,0,0,0,0,0,0,7112.0,32576.0,7.8,24.7,2026-08-18,8.218055555555555,False,False
5150,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 05:44:00,21.4,54.0,20.0,5.0,-3.6000000000000014,16.56,20.44,4.84,0.1613333333333333,19.46666666666667,21.4,390.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-2.140000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,7142.0,32606.0,7.8,24.7,2026-08-18,8.238888888888889,False,False
5151,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 06:14:00,21.1,51.6,20.0,5.0,-3.899999999999999,21.4,16.56,-0.2999999999999971,-0.0099999999999999,19.686666666666667,21.4,420.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-2.140000000000001,2,True,True,0,0,0,0,0,0,0,0,0,0,7172.0,32636.0,7.8,24.7,2026-08-18,8.259722222222223,False,False
5152,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 06:44:00,17.14,35.4,20.0,5.0,-2.140000000000001,21.1,21.4,-3.960000000000001,-0.132,19.88,21.4,450.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-2.27,2,True,True,0,0,0,0,0,0,0,0,0,0,7202.0,32666.0,7.8,24.7,2026-08-18,8.280555555555555,False,False
5153,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 07:14:00,18.88,48.7,20.0,5.0,-3.879999999999999,17.14,21.1,1.7399999999999984,0.0579999999999999,19.040000000000003,21.1,480.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-0.7199999999999989,2,True,True,0,0,0,0,0,0,0,0,0,0,7232.0,32696.0,7.8,24.7,2026-08-18,8.301388888888889,False,False
5154,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 07:44:00,22.73,47.5,20.0,5.0,-2.27,18.88,17.14,3.8500000000000014,0.1283333333333333,19.58333333333333,22.73,510.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-0.7199999999999989,2,True,True,0,0,0,0,0,0,0,0,0,0,7262.0,32726.0,7.8,24.7,2026-08-18,8.322222222222223,False,False
5155,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 08:14:00,24.28,42.8,20.0,5.0,-0.7199999999999989,22.73,18.88,1.5500000000000007,0.0516666666666666,21.96333333333333,24.28,540.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-4.5,2,True,True,0,0,0,0,0,0,0,0,0,0,7292.0,32756.0,7.8,24.7,2026-08-18,8.343055555555555,False,False
5156,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 08:44:00,19.74,47.9,20.0,5.0,-4.739999999999998,24.28,22.73,-4.540000000000003,-0.1513333333333334,22.25,24.28,570.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-3.2300000000000004,2,True,True,0,0,0,0,0,0,0,0,0,0,7322.0,32786.0,7.8,24.7,2026-08-18,8.363888888888889,False,False
5157,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 09:14:00,20.5,63.3,20.0,5.0,-4.5,19.74,24.28,0.7600000000000016,0.0253333333333333,21.506666666666664,24.28,600.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-3.2300000000000004,2,True,True,0,0,0,0,0,0,0,0,0,0,7352.0,32816.0,7.8,24.7,2026-08-18,8.384722222222223,False,False
5158,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 09:44:00,18.23,65.1,20.0,5.0,-3.2300000000000004,20.5,19.74,-2.27,-0.0756666666666666,19.49,20.5,630.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-3.3500000000000014,2,True,True,0,0,0,0,0,0,0,0,0,0,7382.0,32846.0,7.8,24.7,2026-08-18,8.405555555555555,False,False
5159,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 10:14:00,20.91,48.8,20.0,5.0,-4.09,18.23,20.5,2.68,0.0893333333333333,19.88,20.91,660.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,-3.3500000000000014,1,True,True,0,0,0,0,0,0,0,0,0,0,7412.0,32876.0,7.8,24.7,2026-08-18,8.426388888888889,False,False
5160,VIA-00215,ORD-2026-04895,CAM-30,PROD-029,2026-08-26 10:44:00,21.65,35.2,20.0,5.0,-3.3500000000000014,20.91,18.23,0.7399999999999984,0.0246666666666666,20.26333333333333,21.65,690.0,Seco,Seco,8000,Cochabamba,239.0,48.0,False,False,0,,0,True,False,0,0,0,0,0,0,0,0,0,0,7442.0,32906.0,7.8,24.7,2026-08-18,8.447222222222223,False,False
5162,VIA-00216,ORD-2026-00969,CAM-08,PROD-060,2026-08-18 13:10:00,-16.72,73.9,-18.0,2.0,-0.7199999999999989,,,,,-16.72,-16.72,0.0,Congelado,Refrigerado,5000,Santa Cruz,392.0,24.0,False,False,0,-1.2199999999999989,2,True,True,0,0,0,0,0,0,0,0,0,0,6332.0,25118.0,7.7,30.4,2026-07-10,39.548611111111114,False,False
5163,VIA-00216,ORD-2026-00969,CAM-08,PROD-060,2026-08-18 13:40:00,-17.22,52.4,-18.0,2.0,-1.2199999999999989,-16.72,,-0.5,-0.0166666666666666,-16.97,-16.72,30.0,Congelado,Refrigerado,5000,Santa Cruz,392.0,24.0,False,False,0,-0.6799999999999997,2,True,True,0,0,0,0,0,0,0,0,0,0,6362.0,25148.0,7.7,30.4,2026-07-10,39.56944444444444,False,False
