fila_bronze,sistema,camion_id,evento_id,tipo,severidad,reconocido,umbral_temp_cabina_c,geocerca_radio_km,ultimo_mantenimiento,timestamp_bolivia,fecha_exportacion_bolivia,valor_lectura_numerico,valor_lectura_no_disponible,valor_lectura_unidad_declarada,reconocido_faltante,dias_desde_ultimo_mantenimiento,sistema_original,fecha_exportacion_original,camion_id_original,evento_id_original,timestamp_original,tipo_original,severidad_original,valor_lectura_original,reconocido_original,umbral_temp_cabina_c_original,geocerca_radio_km_original,ultimo_mantenimiento_original
65,TELEMATICA-AndinaLog,CAM-10,EVT-ALOG-00063,MANTENIMIENTO_PROGRAMADO,Baja,False,6.4,24.5,2026-07-02,2026-08-20 11:17:00,2026-08-30 00:00:00,44.74,False,False,False,49.47013888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00063,2026-08-20T11:17:00,MANTENIMIENTO_PROGRAMADO,Baja,44.74,False,6.4,24.5,2026-07-02
66,TELEMATICA-AndinaLog,CAM-10,EVT-ALOG-00064,GEOCERCA_SALIDA,Baja,True,6.4,24.5,2026-07-02,2026-08-19 19:22:00,2026-08-30 00:00:00,64.67,False,False,False,48.80694444444445,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00064,2026-08-19T19:22:00,GEOCERCA_SALIDA,Baja,64.67,True,6.4,24.5,2026-07-02
67,TELEMATICA-AndinaLog,CAM-10,EVT-ALOG-00065,ALERTA_TEMP_CADENA_FRIO,Baja,False,6.4,24.5,2026-07-02,2026-08-06 00:22:00,2026-08-30 00:00:00,57.71,False,False,False,35.015277777777776,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00065,2026-08-06T00:22:00,ALERTA_TEMP_CADENA_FRIO,Baja,57.71,False,6.4,24.5,2026-07-02
68,TELEMATICA-AndinaLog,CAM-10,EVT-ALOG-00066,EXCESO_VELOCIDAD,Media,True,6.4,24.5,2026-07-02,2026-08-07 12:42:00,2026-08-30 00:00:00,85.73,False,False,False,36.52916666666667,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-10,EVT-ALOG-00066,07/08/2026 12:42,EXCESO_VELOCIDAD,Media,85.73,True,6.4,24.5,2026-07-02
70,TELEMATICA-AndinaLog,CAM-11,EVT-ALOG-00067,EXCESO_VELOCIDAD,Baja,False,7.7,28.4,2026-07-28,2026-08-06 13:02:00,2026-08-30 00:00:00,65.07,False,False,False,9.543055555555556,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-11,EVT-ALOG-00067,2026-08-06T13:02:00,EXCESO_VELOCIDAD,Baja,65.07,False,7.7,28.4,2026-07-28
71,TELEMATICA-AndinaLog,CAM-11,EVT-ALOG-00068,MANTENIMIENTO_PROGRAMADO,Alta,False,7.7,28.4,2026-07-28,2026-08-21 18:27:00,2026-08-30 00:00:00,,True,False,False,24.76875,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-11,EVT-ALOG-00068,2026-08-21T18:27:00,MANTENIMIENTO_PROGRAMADO,Alta,N/D,False,7.7,28.4,2026-07-28
72,TELEMATICA-AndinaLog,CAM-11,EVT-ALOG-00069,EXCESO_VELOCIDAD,Baja,True,7.7,28.4,2026-07-28,2026-08-04 07:35:00,2026-08-30 00:00:00,46.37,False,False,False,7.315972222222222,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-11,EVT-ALOG-00069,2026-08-04T07:35:00,EXCESO_VELOCIDAD,Baja,46.37,True,7.7,28.4,2026-07-28
73,TELEMATICA-AndinaLog,CAM-11,EVT-ALOG-00070,ALERTA_TEMP_CADENA_FRIO,Baja,True,7.7,28.4,2026-07-28,2026-08-13 07:01:00,2026-08-30 00:00:00,58.23,False,False,False,16.292361111111113,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-11,EVT-ALOG-00070,2026-08-13T07:01:00,ALERTA_TEMP_CADENA_FRIO,Baja,58.23,True,7.7,28.4,2026-07-28
74,TELEMATICA-AndinaLog,CAM-11,EVT-ALOG-00071,ALERTA_TEMP_CADENA_FRIO,Baja,True,7.7,28.4,2026-07-28,2026-08-24 21:03:00,2026-08-30 00:00:00,55.18,False,False,False,27.877083333333335,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-11,EVT-ALOG-00071,2026-08-24T21:03:00,ALERTA_TEMP_CADENA_FRIO,Baja,55.18,True,7.7,28.4,2026-07-28
75,TELEMATICA-AndinaLog,CAM-12,EVT-ALOG-00072,EXCESO_VELOCIDAD,Media,True,6.4,49.8,2026-08-17,2026-08-02 12:52:00,2026-08-30 00:00:00,69.61,False,False,False,-14.463888888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00072,2026-08-02T12:52:00,EXCESO_VELOCIDAD,Media,69.61,True,6.4,49.8,2026-08-17
76,TELEMATICA-AndinaLog,CAM-12,EVT-ALOG-00073,EXCESO_VELOCIDAD,Media,True,6.4,49.8,2026-08-17,2026-08-15 00:29:00,2026-08-30 00:00:00,60.52,False,False,False,-1.979861111111111,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00073,2026-08-15T00:29:00,EXCESO_VELOCIDAD,Media,60.52,True,6.4,49.8,2026-08-17
77,TELEMATICA-AndinaLog,CAM-12,EVT-ALOG-00074,MANTENIMIENTO_PROGRAMADO,Media,True,6.4,49.8,2026-08-17,2026-08-20 12:02:00,2026-08-30 00:00:00,64.9,False,False,False,3.501388888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00074,2026-08-20T12:02:00,MANTENIMIENTO_PROGRAMADO,Media,64.9,True,6.4,49.8,2026-08-17
78,TELEMATICA-AndinaLog,CAM-12,EVT-ALOG-00075,GEOCERCA_SALIDA,Alta,False,6.4,49.8,2026-08-17,2026-08-20 15:38:00,2026-08-30 00:00:00,56.14,False,False,False,3.651388888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00075,2026-08-20T15:38:00,GEOCERCA_SALIDA,Alta,56.14,False,6.4,49.8,2026-08-17
79,TELEMATICA-AndinaLog,CAM-12,EVT-ALOG-00076,ALERTA_TEMP_CADENA_FRIO,Baja,False,6.4,49.8,2026-08-17,2026-08-15 21:37:00,2026-08-30 00:00:00,49.65,False,False,False,-1.0993055555555555,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00076,2026-08-15T21:37:00,ALERTA_TEMP_CADENA_FRIO,Baja,49.65,False,6.4,49.8,2026-08-17
80,TELEMATICA-AndinaLog,CAM-12,EVT-ALOG-00077,GEOCERCA_SALIDA,Baja,True,6.4,49.8,2026-08-17,2026-08-28 08:39:00,2026-08-30 00:00:00,93.7,False,False,False,11.360416666666667,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00077,2026-08-28T08:39:00,GEOCERCA_SALIDA,Baja,93.7,True,6.4,49.8,2026-08-17
81,TELEMATICA-AndinaLog,CAM-12,EVT-ALOG-00078,MANTENIMIENTO_PROGRAMADO,Baja,False,6.4,49.8,2026-08-17,2026-08-12 20:50:00,2026-08-30 00:00:00,79.52,False,False,False,-4.131944444444445,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00078,2026-08-12T20:50:00,MANTENIMIENTO_PROGRAMADO,Baja,79.52,False,6.4,49.8,2026-08-17
82,TELEMATICA-AndinaLog,CAM-12,EVT-ALOG-00079,GEOCERCA_SALIDA,Media,True,6.4,49.8,2026-08-17,2026-08-18 14:10:00,2026-08-30 00:00:00,54.16,False,False,False,1.5902777777777777,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-12,EVT-ALOG-00079,18/08/2026 14:10,GEOCERCA_SALIDA,Media,54.16,True,6.4,49.8,2026-08-17
83,TELEMATICA-AndinaLog,CAM-13,EVT-ALOG-00080,FALLA_MOTOR,Alta,True,7.9,22.5,2026-08-12,2026-08-04 02:02:00,2026-08-30 00:00:00,39.95,False,False,False,-7.915277777777778,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-13,EVT-ALOG-00080,2026-08-04T02:02:00,FALLA_MOTOR,Alta,39.95,True,7.9,22.5,2026-08-12
84,TELEMATICA-AndinaLog,CAM-13,EVT-ALOG-00081,ALERTA_TEMP_CADENA_FRIO,Media,,7.9,22.5,2026-08-12,2026-08-02 08:43:00,2026-08-30 00:00:00,59.75,False,False,True,-9.636805555555556,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-13,EVT-ALOG-00081,2026-08-02T08:43:00,ALERTA_TEMP_CADENA_FRIO,Media,59.75,,7.9,22.5,2026-08-12
85,TELEMATICA-AndinaLog,CAM-13,EVT-ALOG-00082,EXCESO_VELOCIDAD,Baja,,7.9,22.5,2026-08-12,2026-08-24 23:37:00,2026-08-30 00:00:00,41.32,False,False,True,12.984027777777778,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-13,EVT-ALOG-00082,2026-08-24T23:37:00,EXCESO_VELOCIDAD,Baja,41.32,,7.9,22.5,2026-08-12
86,TELEMATICA-AndinaLog,CAM-13,EVT-ALOG-00083,MANTENIMIENTO_PROGRAMADO,Alta,False,7.9,22.5,2026-08-12,2026-08-24 09:13:00,2026-08-30 00:00:00,,True,False,False,12.384027777777778,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-13,EVT-ALOG-00083,2026-08-24T09:13:00,MANTENIMIENTO_PROGRAMADO,Alta,N/D,False,7.9,22.5,2026-08-12
87,TELEMATICA-AndinaLog,CAM-14,EVT-ALOG-00084,MANTENIMIENTO_PROGRAMADO,Baja,False,7.2,50.2,2026-07-30,2026-08-17 16:56:00,2026-08-30 00:00:00,74.35,False,False,False,18.705555555555556,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-14,EVT-ALOG-00084,2026-08-17T16:56:00,MANTENIMIENTO_PROGRAMADO,Baja,74.35,False,7.2,50.2,2026-07-30
88,TELEMATICA-AndinaLog,CAM-14,EVT-ALOG-00085,FALLA_MOTOR,Media,True,7.2,50.2,2026-07-30,2026-08-20 10:42:00,2026-08-30 00:00:00,36.35,False,False,False,21.445833333333333,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-14,EVT-ALOG-00085,2026-08-20T10:42:00,FALLA_MOTOR,Media,36.35,True,7.2,50.2,2026-07-30
89,TELEMATICA-AndinaLog,CAM-14,EVT-ALOG-00086,MANTENIMIENTO_PROGRAMADO,Baja,True,7.2,50.2,2026-07-30,2026-08-23 22:47:00,2026-08-30 00:00:00,87.71,False,False,False,24.949305555555554,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-14,EVT-ALOG-00086,2026-08-23T22:47:00,MANTENIMIENTO_PROGRAMADO,Baja,87.71,True,7.2,50.2,2026-07-30
90,TELEMATICA-AndinaLog,CAM-14,EVT-ALOG-00087,GEOCERCA_SALIDA,Baja,False,7.2,50.2,2026-07-30,2026-08-22 02:53:00,2026-08-30 00:00:00,62.31,False,False,False,23.12013888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-14,EVT-ALOG-00087,2026-08-22T02:53:00,GEOCERCA_SALIDA,Baja,62.31,False,7.2,50.2,2026-07-30
91,TELEMATICA-AndinaLog,CAM-14,EVT-ALOG-00088,FALLA_MOTOR,Baja,True,7.2,50.2,2026-07-30,2026-08-22 00:27:00,2026-08-30 00:00:00,73.28,False,False,False,23.01875,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-14,EVT-ALOG-00088,2026-08-22T00:27:00,FALLA_MOTOR,Baja,73.28,True,7.2,50.2,2026-07-30
92,TELEMATICA-AndinaLog,CAM-14,EVT-ALOG-00089,EXCESO_VELOCIDAD,Baja,True,7.2,50.2,2026-07-30,2026-08-16 10:59:00,2026-08-30 00:00:00,68.53,False,False,False,17.457638888888887,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-14,EVT-ALOG-00089,2026-08-16T10:59:00,EXCESO_VELOCIDAD,Baja,68.53,True,7.2,50.2,2026-07-30
94,TELEMATICA-AndinaLog,CAM-15,EVT-ALOG-00090,ALERTA_TEMP_CADENA_FRIO,Media,False,6.7,49.9,2026-07-18,2026-08-03 03:38:00,2026-08-30 00:00:00,69.7,False,False,False,16.15138888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-15,EVT-ALOG-00090,2026-08-03T03:38:00,ALERTA_TEMP_CADENA_FRIO,Media,69.7,False,6.7,49.9,2026-07-18
95,TELEMATICA-AndinaLog,CAM-15,EVT-ALOG-00091,EXCESO_VELOCIDAD,Media,True,6.7,49.9,2026-07-18,2026-08-01 01:22:00,2026-08-30 00:00:00,66.0,False,False,False,14.056944444444444,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-15,EVT-ALOG-00091,2026-08-01T01:22:00,EXCESO_VELOCIDAD,Media,66.0,True,6.7,49.9,2026-07-18
96,TELEMATICA-AndinaLog,CAM-15,EVT-ALOG-00092,ALERTA_TEMP_CADENA_FRIO,Media,False,6.7,49.9,2026-07-18,2026-08-16 17:41:00,2026-08-30 00:00:00,68.4,False,False,False,29.736805555555556,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-15,EVT-ALOG-00092,2026-08-16T17:41:00,ALERTA_TEMP_CADENA_FRIO,Media,68.4,False,6.7,49.9,2026-07-18
98,TELEMATICA-AndinaLog,CAM-16,EVT-ALOG-00093,ALERTA_TEMP_CADENA_FRIO,Media,True,7.6,30.7,2026-06-05,2026-08-12 17:17:00,2026-08-30 00:00:00,61.03,False,False,False,68.72013888888888,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-16,EVT-ALOG-00093,2026-08-12T17:17:00,ALERTA_TEMP_CADENA_FRIO,Media,61.03,True,7.6,30.7,2026-06-05
99,TELEMATICA-AndinaLog,CAM-16,EVT-ALOG-00094,EXCESO_VELOCIDAD,Baja,True,7.6,30.7,2026-06-05,2026-08-12 23:41:00,2026-08-30 00:00:00,35.24,False,False,False,68.98680555555555,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-16,EVT-ALOG-00094,12/08/2026 23:41,EXCESO_VELOCIDAD,Baja,35.24,True,7.6,30.7,2026-06-05
100,TELEMATICA-AndinaLog,CAM-16,EVT-ALOG-00095,EXCESO_VELOCIDAD,Media,True,7.6,30.7,2026-06-05,2026-08-06 19:03:00,2026-08-30 00:00:00,67.03,False,False,False,62.79375,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-16,EVT-ALOG-00095,2026-08-06T19:03:00,EXCESO_VELOCIDAD,Media,67.03,True,7.6,30.7,2026-06-05
101,TELEMATICA-AndinaLog,CAM-17,EVT-ALOG-00096,ALERTA_TEMP_CADENA_FRIO,Media,True,7.8,44.2,2026-08-20,2026-08-05 18:21:00,2026-08-30 00:00:00,61.37,False,False,False,-14.235416666666667,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-17,EVT-ALOG-00096,2026-08-05T18:21:00,ALERTA_TEMP_CADENA_FRIO,Media,61.37,True,7.8,44.2,2026-08-20
102,TELEMATICA-AndinaLog,CAM-17,EVT-ALOG-00097,GEOCERCA_SALIDA,Media,True,7.8,44.2,2026-08-20,2026-08-09 00:23:00,2026-08-30 00:00:00,54.51,False,False,False,-10.984027777777778,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-17,EVT-ALOG-00097,2026-08-09T00:23:00,GEOCERCA_SALIDA,Media,54.51,True,7.8,44.2,2026-08-20
103,TELEMATICA-AndinaLog,CAM-17,EVT-ALOG-00098,GEOCERCA_SALIDA,Alta,True,7.8,44.2,2026-08-20,2026-08-13 23:02:00,2026-08-30 00:00:00,48.35,False,False,False,-6.040277777777778,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-17,EVT-ALOG-00098,2026-08-13T23:02:00,GEOCERCA_SALIDA,Alta,48.35,True,7.8,44.2,2026-08-20
104,TELEMATICA-AndinaLog,CAM-17,EVT-ALOG-00099,EXCESO_VELOCIDAD,Alta,False,7.8,44.2,2026-08-20,2026-08-21 08:15:00,2026-08-30 00:00:00,48.84,False,False,False,1.34375,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-17,EVT-ALOG-00099,2026-08-21T08:15:00,EXCESO_VELOCIDAD,Alta,48.84,False,7.8,44.2,2026-08-20
105,TELEMATICA-AndinaLog,CAM-17,EVT-ALOG-00100,EXCESO_VELOCIDAD,Baja,False,7.8,44.2,2026-08-20,2026-08-03 04:29:00,2026-08-30 00:00:00,71.62,False,False,False,-16.813194444444445,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-17,EVT-ALOG-00100,2026-08-03T04:29:00,EXCESO_VELOCIDAD,Baja,71.62,False,7.8,44.2,2026-08-20
106,TELEMATICA-AndinaLog,CAM-17,EVT-ALOG-00101,MANTENIMIENTO_PROGRAMADO,Media,False,7.8,44.2,2026-08-20,2026-08-08 11:33:00,2026-08-30 00:00:00,66.87,False,False,False,-11.51875,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-17,EVT-ALOG-00101,2026-08-08T11:33:00,MANTENIMIENTO_PROGRAMADO,Media,66.87,False,7.8,44.2,2026-08-20
107,TELEMATICA-AndinaLog,CAM-17,EVT-ALOG-00102,GEOCERCA_SALIDA,Media,,7.8,44.2,2026-08-20,2026-08-13 07:01:00,2026-08-30 00:00:00,75.0,False,False,True,-6.707638888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-17,EVT-ALOG-00102,2026-08-13T07:01:00,GEOCERCA_SALIDA,Media,75.0,,7.8,44.2,2026-08-20
108,TELEMATICA-AndinaLog,CAM-17,EVT-ALOG-00103,FALLA_MOTOR,Media,False,7.8,44.2,2026-08-20,2026-08-18 17:57:00,2026-08-30 00:00:00,,True,False,False,-1.2520833333333334,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-17,EVT-ALOG-00103,2026-08-18T17:57:00,FALLA_MOTOR,Media,N/D,False,7.8,44.2,2026-08-20
109,TELEMATICA-AndinaLog,CAM-18,EVT-ALOG-00104,ALERTA_TEMP_CADENA_FRIO,Baja,False,8.7,57.8,2026-08-25,2026-08-14 14:07:00,2026-08-30 00:00:00,35.12,False,False,False,-10.411805555555556,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-18,EVT-ALOG-00104,2026-08-14T14:07:00,ALERTA_TEMP_CADENA_FRIO,Baja,35.12,False,8.7,57.8,2026-08-25
110,TELEMATICA-AndinaLog,CAM-18,EVT-ALOG-00105,GEOCERCA_SALIDA,Baja,False,8.7,57.8,2026-08-25,2026-08-09 11:12:00,2026-08-30 00:00:00,53.88,False,False,False,-15.533333333333333,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-18,EVT-ALOG-00105,2026-08-09T11:12:00,GEOCERCA_SALIDA,Baja,53.88,False,8.7,57.8,2026-08-25
111,TELEMATICA-AndinaLog,CAM-18,EVT-ALOG-00106,FALLA_MOTOR,Media,,8.7,57.8,2026-08-25,2026-08-26 04:27:00,2026-08-30 00:00:00,74.02,False,False,True,1.1854166666666666,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-18,EVT-ALOG-00106,2026-08-26T04:27:00,FALLA_MOTOR,Media,74.02,,8.7,57.8,2026-08-25
112,TELEMATICA-AndinaLog,CAM-18,EVT-ALOG-00107,ALERTA_TEMP_CADENA_FRIO,Media,True,8.7,57.8,2026-08-25,2026-08-18 18:04:00,2026-08-30 00:00:00,72.59,False,False,False,-6.247222222222222,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-18,EVT-ALOG-00107,2026-08-18T18:04:00,ALERTA_TEMP_CADENA_FRIO,Media,72.59,True,8.7,57.8,2026-08-25
114,TELEMATICA-AndinaLog,CAM-19,EVT-ALOG-00108,EXCESO_VELOCIDAD,Media,True,8.9,42.0,2026-08-28,2026-08-07 21:14:00,2026-08-30 00:00:00,32.46,False,False,False,-20.115277777777777,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-19,EVT-ALOG-00108,2026-08-07T21:14:00,EXCESO_VELOCIDAD,Media,32.46,True,8.9,42.0,2026-08-28
115,TELEMATICA-AndinaLog,CAM-19,EVT-ALOG-00109,GEOCERCA_SALIDA,Baja,,8.9,42.0,2026-08-28,2026-08-08 02:10:00,2026-08-30 00:00:00,65.73,False,False,True,-19.90972222222222,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-19,EVT-ALOG-00109,2026-08-08T02:10:00,GEOCERCA_SALIDA,Baja,65.73,,8.9,42.0,2026-08-28
116,TELEMATICA-AndinaLog,CAM-19,EVT-ALOG-00110,GEOCERCA_SALIDA,Baja,True,8.9,42.0,2026-08-28,2026-08-24 17:07:00,2026-08-30 00:00:00,72.29,False,False,False,-3.2868055555555555,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-19,EVT-ALOG-00110,2026-08-24T17:07:00,GEOCERCA_SALIDA,Baja,72.29,True,8.9,42.0,2026-08-28
117,TELEMATICA-AndinaLog,CAM-19,EVT-ALOG-00111,MANTENIMIENTO_PROGRAMADO,Alta,True,8.9,42.0,2026-08-28,2026-08-16 20:22:00,2026-08-30 00:00:00,65.43,False,False,False,-11.151388888888889,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-19,EVT-ALOG-00111,2026-08-16T20:22:00,MANTENIMIENTO_PROGRAMADO,Alta,65.43,True,8.9,42.0,2026-08-28
118,TELEMATICA-AndinaLog,CAM-19,EVT-ALOG-00112,MANTENIMIENTO_PROGRAMADO,Media,True,8.9,42.0,2026-08-28,2026-08-24 05:43:00,2026-08-30 00:00:00,88.96,False,False,False,-3.7618055555555556,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-19,EVT-ALOG-00112,2026-08-24T05:43:00,MANTENIMIENTO_PROGRAMADO,Media,88.96,True,8.9,42.0,2026-08-28
119,TELEMATICA-AndinaLog,CAM-19,EVT-ALOG-00113,MANTENIMIENTO_PROGRAMADO,Baja,False,8.9,42.0,2026-08-28,2026-08-05 11:17:00,2026-08-30 00:00:00,82.14,False,False,False,-22.52986111111111,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-19,EVT-ALOG-00113,05/08/2026 11:17,MANTENIMIENTO_PROGRAMADO,Baja,82.14,False,8.9,42.0,2026-08-28
120,TELEMATICA-AndinaLog,CAM-19,EVT-ALOG-00114,FALLA_MOTOR,Alta,False,8.9,42.0,2026-08-28,2026-08-16 20:57:00,2026-08-30 00:00:00,43.36,False,False,False,-11.127083333333333,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-19,EVT-ALOG-00114,2026-08-16T20:57:00,FALLA_MOTOR,Alta,43.36,False,8.9,42.0,2026-08-28
121,TELEMATICA-AndinaLog,CAM-20,EVT-ALOG-00115,EXCESO_VELOCIDAD,Media,True,7.6,24.8,2026-07-22,2026-08-03 07:08:00,2026-08-30 00:00:00,60.86,False,False,False,12.297222222222222,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-20,EVT-ALOG-00115,03/08/2026 07:08,EXCESO_VELOCIDAD,Media,60.86,True,7.6,24.8,2026-07-22
122,TELEMATICA-AndinaLog,CAM-20,EVT-ALOG-00116,MANTENIMIENTO_PROGRAMADO,Media,False,7.6,24.8,2026-07-22,2026-08-07 07:36:00,2026-08-30 00:00:00,60.54,False,False,False,16.316666666666666,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-20,EVT-ALOG-00116,2026-08-07T07:36:00,MANTENIMIENTO_PROGRAMADO,Media,60.54,False,7.6,24.8,2026-07-22
123,TELEMATICA-AndinaLog,CAM-20,EVT-ALOG-00117,FALLA_MOTOR,Baja,True,7.6,24.8,2026-07-22,2026-08-17 20:48:00,2026-08-30 00:00:00,45.21,False,False,False,26.866666666666667,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-20,EVT-ALOG-00117,2026-08-17T20:48:00,FALLA_MOTOR,Baja,45.21,True,7.6,24.8,2026-07-22
124,TELEMATICA-AndinaLog,CAM-20,EVT-ALOG-00118,GEOCERCA_SALIDA,Baja,True,7.6,24.8,2026-07-22,2026-08-10 15:28:00,2026-08-30 00:00:00,94.37,False,False,False,19.644444444444446,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-20,EVT-ALOG-00118,2026-08-10T15:28:00,GEOCERCA_SALIDA,Baja,94.37,True,7.6,24.8,2026-07-22
125,TELEMATICA-AndinaLog,CAM-20,EVT-ALOG-00119,FALLA_MOTOR,Media,True,7.6,24.8,2026-07-22,2026-08-09 16:20:00,2026-08-30 00:00:00,34.89,False,False,False,18.680555555555557,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-20,EVT-ALOG-00119,2026-08-09T16:20:00,FALLA_MOTOR,Media,34.89,True,7.6,24.8,2026-07-22
126,TELEMATICA-AndinaLog,CAM-20,EVT-ALOG-00120,MANTENIMIENTO_PROGRAMADO,Baja,False,7.6,24.8,2026-07-22,2026-08-01 14:02:00,2026-08-30 00:00:00,72.51,False,False,False,10.584722222222222,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-20,EVT-ALOG-00120,2026-08-01T14:02:00,MANTENIMIENTO_PROGRAMADO,Baja,72.51,False,7.6,24.8,2026-07-22
127,TELEMATICA-AndinaLog,CAM-20,EVT-ALOG-00121,EXCESO_VELOCIDAD,Alta,True,7.6,24.8,2026-07-22,2026-08-21 16:07:00,2026-08-30 00:00:00,52.53,False,False,False,30.67152777777778,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-20,EVT-ALOG-00121,2026-08-21T16:07:00,EXCESO_VELOCIDAD,Alta,52.53,True,7.6,24.8,2026-07-22
128,TELEMATICA-AndinaLog,CAM-21,EVT-ALOG-00122,GEOCERCA_SALIDA,Baja,False,7.1,28.0,2026-06-11,2026-08-18 10:24:00,2026-08-30 00:00:00,,True,False,False,68.43333333333334,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-21,EVT-ALOG-00122,2026-08-18T10:24:00,GEOCERCA_SALIDA,Baja,N/D,False,7.1,28.0,2026-06-11
129,TELEMATICA-AndinaLog,CAM-21,EVT-ALOG-00123,GEOCERCA_SALIDA,Alta,False,7.1,28.0,2026-06-11,2026-08-06 18:10:00,2026-08-30 00:00:00,57.63,False,False,False,56.75694444444444,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-21,EVT-ALOG-00123,2026-08-06T18:10:00,GEOCERCA_SALIDA,Alta,57.63,False,7.1,28.0,2026-06-11
130,TELEMATICA-AndinaLog,CAM-21,EVT-ALOG-00124,ALERTA_TEMP_CADENA_FRIO,Baja,False,7.1,28.0,2026-06-11,2026-08-02 14:56:00,2026-08-30 00:00:00,88.08,False,False,False,52.62222222222222,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-21,EVT-ALOG-00124,2026-08-02T14:56:00,ALERTA_TEMP_CADENA_FRIO,Baja,88.08,False,7.1,28.0,2026-06-11
131,TELEMATICA-AndinaLog,CAM-21,EVT-ALOG-00125,FALLA_MOTOR,Media,False,7.1,28.0,2026-06-11,2026-08-21 06:02:00,2026-08-30 00:00:00,64.83,False,False,False,71.25138888888888,TELEMATICA-AndinaLog,2026-08-30T00:00:00,CAM-21,EVT-ALOG-00125,2026-08-21T06:02:00,FALLA_MOTOR,Media,64.83,False,7.1,28.0,2026-06-11
