fila_bronze,movimiento_id,lote_id,producto_id,centro_distribucion,fecha_ingreso,fecha_salida,fecha_vencimiento,cantidad_ingreso,cantidad_salida,cantidad_merma,dias_en_almacen,costo_unitario_bob,movimiento_id_estado,movimiento_id_motivo,lote_id_estado,lote_id_motivo,producto_id_estado,producto_id_motivo,centro_distribucion_estado,centro_distribucion_motivo,fecha_ingreso_estado,fecha_ingreso_motivo,fecha_salida_estado,fecha_salida_motivo,fecha_vencimiento_estado,fecha_vencimiento_motivo,cantidad_ingreso_estado,cantidad_ingreso_motivo,cantidad_salida_estado,cantidad_salida_motivo,cantidad_merma_estado,cantidad_merma_motivo,dias_en_almacen_estado,dias_en_almacen_motivo,costo_unitario_bob_estado,costo_unitario_bob_motivo,cantidad_columnas_con_problemas,en_cuarentena,severidad_maxima,columnas_con_problemas,motivos_fila,version_diagnostico,sha256_bronze,acciones_tratamiento,motivos_tratamiento,fecha_ingreso_tratada,fecha_salida_tratada,fecha_vencimiento_tratada,producto_id_tratado,cantidad_ingreso_tratada,cantidad_salida_tratada,cantidad_merma_tratada,dias_en_almacen_tratada,costo_unitario_bob_tratada,vida_util_producto_dias_usada,vencimiento_imputado,motivo_cuarentena_final,saldo_unidades_inventario,riesgo_salida_post_vencimiento,riesgo_basado_en_vencimiento_imputado,en_cuarentena_final,decision_tratamiento,apto_kpi_vencimiento_observado,version_tratamiento
6013,MOV-004997,LOT-2026-04997,PROD-031,La Paz,2026-07-30,2026-08-12,2027-07-30,822,817,5,13,50.89,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|producto_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | producto_id: Sin correspondencia en Productos Silver de cobertura parcial,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-30,2026-08-12,2027-07-30,PROD-031,822,817,5,13,50.89,365.0,False,Copia excluida del Silver,0,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6014,MOV-003224,LOT-2026-03224,PROD-048,Cochabamba,2026-06-06,2026-06-22,2027-06-06,131,123,1,16,49.21,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-06-06,2026-06-22,2027-06-06,PROD-048,131,123,1,16,49.21,365.0,False,Copia excluida del Silver,7,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6015,MOV-004399,LOT-2026-04399,PROD-047,Tarija,2026-07-27,2026-08-16,2026-08-14,758,725,28,20,68.27,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,REVISAR,Salida posterior al vencimiento (riesgo de negocio),OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|fecha_salida,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | fecha_salida: Salida posterior al vencimiento (riesgo de negocio),GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-27,2026-08-16,2026-08-14,PROD-047,758,725,28,20,68.27,18.0,False,Copia excluida del Silver,5,True,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6016,MOV-005441,LOT-2026-05441,PROD-003,Oruro,2026-08-07,2026-09-02,2027-08-07,450,444,3,26,68.01,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-07,2026-09-02,2027-08-07,PROD-003,450,444,3,26,68.01,365.0,False,Copia excluida del Silver,3,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6017,MOV-005588,LOT-2026-05588,PROD-008,Cochabamba,2026-08-21,2026-09-05,2027-02-17,858,837,14,15,79.52,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|producto_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | producto_id: Sin correspondencia en Productos Silver de cobertura parcial,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-21,2026-09-05,2027-02-17,PROD-008,858,837,14,15,79.52,180.0,False,Copia excluida del Silver,7,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6018,MOV-003592,LOT-2026-03592,PROD-016,Santa Cruz,2026-05-30,2026-06-18,2027-05-30,375,368,4,19,25.77,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|producto_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | producto_id: Sin correspondencia en Productos Silver de cobertura parcial,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-05-30,2026-06-18,2027-05-30,PROD-016,375,368,4,19,25.77,365.0,False,Copia excluida del Silver,3,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6019,MOV-003014,LOT-2026-03014,PROD-033,Cochabamba,2026-07-24,2026-08-16,2027-07-24,528,519,3,23,30.56,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-24,2026-08-16,2027-07-24,PROD-033,528,519,3,23,30.56,365.0,False,Copia excluida del Silver,6,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6020,MOV-004061,LOT-2026-04061,PROD-023,Cochabamba,2026-06-15,2026-06-20,2026-07-03,408,391,10,5,22.32,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-06-15,2026-06-20,2026-07-03,PROD-023,408,391,10,5,22.32,18.0,False,Copia excluida del Silver,7,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6021,MOV-000734,LOT-2026-00734,PROD-006,Tarija,2026-05-26,2026-06-06,2027-05-26,362,353,3,11,29.49,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-05-26,2026-06-06,2027-05-26,PROD-006,362,353,3,11,29.49,365.0,False,Copia excluida del Silver,6,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6022,MOV-002648,LOT-2026-02648,PROD-021,Cochabamba,2026-07-11,2026-07-16,2026-07-29,711,691,18,5,83.07,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-11,2026-07-16,2026-07-29,PROD-021,711,691,18,5,83.07,18.0,False,Copia excluida del Silver,2,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6023,MOV-002305,LOT-2026-02305,PROD-015,Tarija,2026-08-15,2026-08-28,2026-09-02,559,538,16,13,68.74,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-15,2026-08-28,2026-09-02,PROD-015,559,538,16,13,68.74,18.0,False,Copia excluida del Silver,5,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6024,MOV-001648,LOT-2026-01648,PROD-025,Oruro,2026-08-15,2026-08-26,2027-02-11,970,955,12,11,54.32,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-15,2026-08-26,2027-02-11,PROD-025,970,955,12,11,54.32,180.0,False,Copia excluida del Silver,3,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6025,MOV-001094,LOT-2026-01094,PROD-044,Santa Cruz,2026-08-03,2026-08-15,2026-08-21,169,161,4,12,38.35,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-03,2026-08-15,2026-08-21,PROD-044,169,161,4,12,38.35,18.0,False,Copia excluida del Silver,4,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6026,MOV-005267,LOT-2026-05267,PROD-006,La Paz,2026-06-25,2026-07-16,2027-06-25,884,876,5,21,29.49,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-06-25,2026-07-16,2027-06-25,PROD-006,884,876,5,21,29.49,365.0,False,Copia excluida del Silver,3,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6027,MOV-004534,LOT-2026-04534,PROD-043,Oruro,2026-05-10,2026-06-01,2026-11-06,499,493,6,22,16.46,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-05-10,2026-06-01,2026-11-06,PROD-043,499,493,6,22,16.46,180.0,False,Copia excluida del Silver,0,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6028,MOV-000190,LOT-2026-00190,PROD-042,La Paz,2026-05-15,2026-06-08,2027-05-15,599,595,3,24,55.74,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-05-15,2026-06-08,2027-05-15,PROD-042,599,595,3,24,55.74,365.0,False,Copia excluida del Silver,1,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6029,MOV-000904,LOT-2026-00904,PROD-022,Cochabamba,2026-07-17,2026-08-14,2026-08-04,702,661,35,28,24.66,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,REVISAR,Salida posterior al vencimiento (riesgo de negocio),OK,,OK,,OK,,OK,,OK,,OK,,4,True,CRITICO,movimiento_id|lote_id|producto_id|fecha_salida,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | producto_id: Sin correspondencia en Productos Silver de cobertura parcial | fecha_salida: Salida posterior al vencimiento (riesgo de negocio),GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-17,2026-08-14,2026-08-04,PROD-022,702,661,35,28,24.66,18.0,False,Copia excluida del Silver,6,True,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6030,MOV-002656,LOT-2026-02656,PROD-057,Tarija,2026-08-10,2026-08-25,2027-08-10,850,838,6,15,16.73,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-10,2026-08-25,2027-08-10,PROD-057,850,838,6,15,16.73,365.0,False,Copia excluida del Silver,6,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6031,MOV-002654,LOT-2026-02654,PROD-007,Santa Cruz,2026-08-13,2026-08-24,2027-08-13,98,95,1,11,20.78,CRITICO,Clave repetida con datos contradictorios,CRITICO,Clave repetida con datos contradictorios,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Clave repetida con datos contradictorios | lote_id: Clave repetida con datos contradictorios,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-13,2026-08-24,2027-08-13,PROD-007,98,95,1,11,20.78,365.0,False,Copia excluida del Silver,2,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6032,MOV-003560,LOT-2026-03560,PROD-028,Cochabamba,2026-06-06,2026-06-18,2027-06-06,377,368,2,12,27.13,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|producto_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | producto_id: Sin correspondencia en Productos Silver de cobertura parcial,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-06-06,2026-06-18,2027-06-06,PROD-028,377,368,2,12,27.13,365.0,False,Copia excluida del Silver,7,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6033,MOV-005749,LOT-2026-05749,PROD-016,Cochabamba,2026-05-17,2026-05-29,2027-05-17,173,165,2,12,25.77,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|producto_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | producto_id: Sin correspondencia en Productos Silver de cobertura parcial,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-05-17,2026-05-29,2027-05-17,PROD-016,173,165,2,12,25.77,365.0,False,Copia excluida del Silver,6,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6034,MOV-004374,LOT-2026-04374,PROD-046,Tarija,2026-05-09,2026-06-06,2027-05-09,665,656,4,28,25.66,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|producto_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | producto_id: Sin correspondencia en Productos Silver de cobertura parcial,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-05-09,2026-06-06,2027-05-09,PROD-046,665,656,4,28,25.66,365.0,False,Copia excluida del Silver,5,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6035,MOV-004588,LOT-2026-04588,PROD-015,Cochabamba,2026-07-16,2026-07-20,2026-08-03,767,742,19,4,68.74,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-16,2026-07-20,2026-08-03,PROD-015,767,742,19,4,68.74,18.0,False,Copia excluida del Silver,6,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6036,MOV-004400,LOT-2026-04400,PROD-031,La Paz,2026-08-12,2026-09-11,2027-08-12,978,970,5,30,50.89,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,REVISAR,Sin correspondencia en Productos Silver de cobertura parcial,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,3,True,CRITICO,movimiento_id|lote_id|producto_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze | producto_id: Sin correspondencia en Productos Silver de cobertura parcial,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-12,2026-09-11,2027-08-12,PROD-031,978,970,5,30,50.89,365.0,False,Copia excluida del Silver,3,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6037,MOV-000486,LOT-2026-00486,PROD-003,Cochabamba,2026-06-28,2026-07-09,2027-06-28,877,866,5,11,68.01,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-06-28,2026-07-09,2027-06-28,PROD-003,877,866,5,11,68.01,365.0,False,Copia excluida del Silver,6,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6038,MOV-005819,LOT-2026-05819,PROD-034,Tarija,2026-07-14,2026-07-18,2026-08-01,871,843,24,4,54.4,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-07-14,2026-07-18,2026-08-01,PROD-034,871,843,24,4,54.4,18.0,False,Copia excluida del Silver,4,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6039,MOV-003665,LOT-2026-03665,PROD-032,Oruro,2026-06-02,2026-07-03,2027-06-02,756,744,5,31,33.13,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-06-02,2026-07-03,2027-06-02,PROD-032,756,744,5,31,33.13,365.0,False,Copia excluida del Silver,7,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
6040,MOV-004092,LOT-2026-04092,PROD-012,Oruro,2026-08-09,2026-08-24,2027-08-09,419,414,2,15,59.96,CRITICO,Copia exacta posterior de una fila Bronze,CRITICO,Copia exacta posterior de una fila Bronze,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,OK,,2,True,CRITICO,movimiento_id|lote_id,movimiento_id: Copia exacta posterior de una fila Bronze | lote_id: Copia exacta posterior de una fila Bronze,GIAD-M3-S4-INVENTORY-diagnostico-didactico-v1,4142c8736512c78c553bdd78dd49b6fe304039f7deec8cc096102d31289a1619,EXCLUIR_COPIA,Copia posterior idéntica después de preparar fechas e ID,2026-08-09,2026-08-24,2027-08-09,PROD-012,419,414,2,15,59.96,365.0,False,Copia excluida del Silver,3,False,False,True,CUARENTENA,False,GIAD-M3-S4-INVENTORY-tratamiento-didactico-v1
