fila_bronze,rule_id,dimension_calidad,severidad,accion,tipo_problema,columna_afectada,codigo_error,valor_original,detalle,version_catalogo,version_diagnostico
4388,IOT-R015,CONFORMIDAD,WARNING,REVISAR,CONFORMIDAD,,PENDIENTE_CONVERSION_F,F,Lectura válida en F; estandarización corresponde al tratamiento,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4393,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4394,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4395,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4396,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4397,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4398,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4399,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4400,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4401,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4402,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4403,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4404,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4405,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4406,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4407,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4408,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4409,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4410,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4411,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4412,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4413,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4414,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4415,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4416,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4423,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4465,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4466,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4467,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4468,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4469,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4470,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4471,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4472,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4473,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4474,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4475,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4476,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4477,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4478,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4479,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4480,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4481,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4482,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4483,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4484,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4485,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4486,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4487,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4488,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-20,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4537,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4576,IOT-R019,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Humedad vacía,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4593,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4599,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4621,IOT-R008,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FORMATO_INVALIDO, cam-19 ,Formato esperado CAM-00,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4621,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE, cam-19 ,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4674,IOT-R016,COMPLETITUD,CRITICAL,CUARENTENA,FALTANTE,,FALTANTE,,Temperatura vacía,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4729,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4730,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4731,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4732,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4733,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4734,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4735,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4736,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4737,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4738,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4739,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4740,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4741,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4742,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4743,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4744,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4745,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4746,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4747,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4748,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4749,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4750,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4751,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4752,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-008,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4768,IOT-R002,CONFORMIDAD,CRITICAL,CUARENTENA,FORMATO,,FECHA_INVALIDA,2026-02-31 09:15:00,Formato incorrecto o fecha imposible,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4825,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4825,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4826,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4826,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4827,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4827,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4828,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4828,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4829,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4829,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4830,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4830,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4831,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4831,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4832,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4832,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4833,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4833,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4834,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4834,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4835,IOT-R026,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,PROD-018,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4835,IOT-R027,INTEGRIDAD,WARNING,REVISAR,INTEGRIDAD,,REFERENCIA_INEXISTENTE,CAM-30,"Sin correspondencia en dimensión Silver de cobertura parcial; revisar, no inferir identificador inválido",1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
4836,IOT-R018,VALIDEZ,CRITICAL,CUARENTENA,VALIDEZ,,VALOR_CENTINELA,-999.0,-999 es centinela: lectura no evaluable para rangos térmicos,1.1.0,GIAD-M3-S4-IOT-diagnostico-v6
