_fila_fuente,chofer_id,centro_distribucion,horas_conduccion_mes,salario_base_bob,ausentismo_dias,chofer_id_original,centro_distribucion_original,horas_conduccion_mes_original,salario_base_bob_original,ausentismo_dias_original,errores_bloqueantes,motivos_transformacion,motivos_imputacion,fue_transformada,fue_imputada,chofer_id_normalizado,horas_conduccion_mes_conversion_invalida,horas_conduccion_mes_centinela_detectado,salario_base_bob_conversion_invalida,salario_base_bob_centinela_detectado,ausentismo_dias_conversion_invalida,ausentismo_dias_centinela_detectado,duplicado_operativo,copia_duplicada,conflicto_clave,calidad_motivo,calidad_estado,conteo_transformaciones,conteo_imputaciones,imputacion_metodo,imputacion_motivo
124,CHO-123,Cochabamba,184.1,3591.72,0,CHO-123,Cochabamba,184.1,3591.72,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
125,CHO-124,La Paz,146.5,6377.98,0,CHO-124,La Paz,146.5,6377.98,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
126,CHO-125,Cochabamba,172.8,3713.46,2,CHO-125,Cochabamba,172.8,3713.46,2,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
127,CHO-126,La Paz,149.1,6222.89,0,CHO-126,La Paz,149.1,6222.89,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,True,False,False,sin_incidencias,valida,1,0,,
128,CHO-127,Santa Cruz,182.1,5369.52,1,CHO-127,Santa Cruz,182.1,5369.52,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
129,CHO-128,Cochabamba,184.4,3823.3,0,CHO-128,Cochabamba,184.4,3823.3,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
130,CHO-129,Santa Cruz,176.1,6061.78,0,CHO-129,Santa Cruz,176.1,6061.78,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
131,CHO-130,La Paz,194.4,4934.44,0,CHO-130,La Paz,194.4,4934.44,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
132,CHO-131,Cochabamba,186.7,3888.37,0,CHO-131,Cochabamba,186.7,3888.37,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
133,CHO-132,Santa Cruz,160.6,4393.03,0,CHO-132,Santa Cruz,160.6,4393.03,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
134,CHO-133,Santa Cruz,178.8,4646.38,1,CHO-133,Santa Cruz,178.8,4646.38,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
135,CHO-134,La Paz,124.4,5270.93,0,CHO-134,La Paz,124.4,5270.93,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
136,CHO-135,Cochabamba,201.3,5167.81,0,CHO-135,Cochabamba,201.3,5167.81,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
137,CHO-136,Cochabamba,152.2,5529.54,0,CHO-136,Cochabamba,152.2,5529.54,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
138,CHO-137,Santa Cruz,166.3,5794.22,0,CHO-137,Santa Cruz,166.3,5794.22,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
139,CHO-138,Santa Cruz,184.0,5766.48,0,CHO-138,Santa Cruz,184.0,5766.48,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
140,CHO-139,Santa Cruz,199.9,4744.85,0,CHO-139,Santa Cruz,199.9,4744.85,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
141,CHO-140,La Paz,157.5,5126.8,1,CHO-140,La Paz,157.5,5126.8,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
142,CHO-141,Santa Cruz,149.9,6393.1,0,CHO-141,Santa Cruz,149.9,6393.1,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,True,False,False,sin_incidencias,valida,1,0,,
143,CHO-142,Cochabamba,208.8,3713.17,0,CHO-142,Cochabamba,208.8,3713.17,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
144,CHO-143,Cochabamba,152.9,4140.15,0,CHO-143,Cochabamba,152.9,4140.15,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
145,CHO-144,Santa Cruz,146.7,3704.24,0,CHO-144,Santa Cruz,146.7,3704.24,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
146,CHO-145,Santa Cruz,222.0,5417.89,0,CHO-145,Santa Cruz,222.0,5417.89,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
147,CHO-146,Santa Cruz,114.9,5513.37,1,CHO-146,Santa Cruz,114.9,5513.37,1,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
148,CHO-147,La Paz,214.0,5866.9,0,CHO-147,La Paz,214.0,5866.9,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
149,CHO-148,Cochabamba,183.2,3514.97,0,CHO-148,Cochabamba,183.2,3514.97,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
150,CHO-149,Santa Cruz,155.5,5787.71,0,CHO-149,Santa Cruz,155.5,5787.71,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
151,CHO-150,Santa Cruz,145.2,5413.68,0,CHO-150,Santa Cruz,145.2,5413.68,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
152,CHO-151,Cochabamba,185.6,4040.25,0,CHO-151,Cochabamba,185.6,4040.25,0,,nombre_eliminado_por_privacidad,,False,False,False,False,False,False,False,False,False,False,False,False,sin_incidencias,valida,1,0,,
